Name,Age,Gender,Date of Birth,Location,Current Savings,Debt Amount,Job Type,Education Level,Number of Logins,Satisfaction Rating,Product Usage,Social Media Usage,ISA at 18
Kathy Bell,17,Female,08/09/2005,,204,1332,Student,Apprenticeships,40,2,Frequent,Frequent,All withdrawn
Sheena Santana,17,Male,28/11/2005,,500,3347,Student,Other Qualifications,24,2,Occasional,Frequent,All withdrawn
Caroline Johnson,17,Female,11/07/2006,,475,2349,Student,A-Levels,34,1,Rare,Frequent,All withdrawn
Nicole Salazar,16,Male,09/01/2007,,204,1892,Student,Other Qualifications,24,3,Occasional,Frequent,All withdrawn
Maria Thomas,16,Female,09/11/2006,,18,612,Student,Other Qualifications,44,2,Occasional,Frequent,All withdrawn
Jamie Stewart,17,Female,27/10/2006,,271,1984,Student,Other Qualifications,32,3,Occasional,Frequent,All withdrawn
Jason Castro,17,Female,28/05/2006,,319,2006,Student,BTECs,29,1,Rare,Frequent,All withdrawn
Pamela Richards,16,Male,11/04/2006,,961,4124,Student,GCSEs,35,2,Occasional,Frequent,All withdrawn
Becky Bailey,17,Female,20/08/2006,,322,2396,Student,BTECs,37,2,Occasional,Frequent,All withdrawn
William Craig,17,Female,11/09/2005,,271,1090,Student,BTECs,30,3,Rare,Frequent,All withdrawn
Amy Hurst,17,Male,09/03/2007,,196,3589,Student,Other Qualifications,24,1,Occasional,Occasional,All withdrawn
Michael Sims,17,Female,29/05/2005,,46,2720,Student,Other Qualifications,45,1,Occasional,Frequent,All withdrawn
Ryan Thomas,16,Male,25/08/2006,,964,1353,Student,BTECs,42,2,Occasional,Frequent,All withdrawn
Jacob Mcgee,17,Male,20/04/2006,,610,4857,Student,Apprenticeships,30,1,Rare,Frequent,All withdrawn
Emma Marsh,16,Female,25/05/2006,,318,3029,Student,Other Qualifications,31,1,Rare,Frequent,All withdrawn
Cindy Washington,17,Female,17/04/2005,,316,1700,Student,A-Levels,45,1,Rare,Frequent,All withdrawn
Dylan Rodriguez,17,Female,05/11/2006,,757,1087,Student,BTECs,23,1,Occasional,Frequent,All withdrawn
Robert Simpson,16,Female,06/04/2007,,250,2271,Student,Apprenticeships,42,3,Frequent,Frequent,All withdrawn
Teresa Kelley,16,Female,15/05/2006,,983,1659,Student,BTECs,20,2,Rare,Frequent,All withdrawn
Roger Myers,17,Female,24/08/2005,,706,4907,Student,A-Levels,21,1,Rare,Frequent,All withdrawn
Tiffany Frey,16,Male,18/01/2006,,654,2246,Student,Other Qualifications,22,3,Occasional,Frequent,All withdrawn
Jonathon Hill,16,Female,18/03/2007,,881,1616,Student,GCSEs,36,2,Rare,Frequent,All withdrawn
Angel Black,17,Male,28/11/2005,,469,720,Student,BTECs,44,1,Rare,Frequent,All withdrawn
Kerry Wilson,16,Male,27/11/2005,,674,1809,Student,Other Qualifications,29,1,Occasional,Frequent,All withdrawn
Christopher Knox,16,Female,06/06/2005,,887,3137,Student,Other Qualifications,50,3,Rare,Frequent,All withdrawn
Lori Peterson,17,Female,29/05/2005,,570,1916,Student,BTECs,42,3,Occasional,Frequent,All withdrawn
Adam Fields,17,Female,02/10/2005,,806,2836,Student,Other Qualifications,33,1,Rare,Frequent,All withdrawn
Troy Garcia,16,Male,17/06/2005,,325,1023,Student,GCSEs,38,2,Rare,Frequent,All withdrawn
Justin Butler,16,Male,29/08/2005,,266,1682,Student,Apprenticeships,23,3,Rare,Frequent,All withdrawn
Robert Mendez,17,Female,01/08/2006,,303,701,Student,Other Qualifications,30,1,Occasional,Frequent,All withdrawn
Rhonda Clark,16,Female,04/05/2006,,514,4294,Student,Apprenticeships,48,1,Occasional,Frequent,All withdrawn
Wesley Brooks,17,Female,26/01/2007,,473,1994,Student,BTECs,49,1,Frequent,Frequent,All withdrawn
Deanna Roman,17,Female,14/02/2006,,82,4564,Student,A-Levels,34,1,Rare,Frequent,All withdrawn
Alicia Choi DDS,16,Male,09/10/2006,,108,2318,Student,GCSEs,40,1,Frequent,Frequent,All withdrawn
Benjamin Wilson,17,Male,31/08/2006,,176,3450,Student,A-Levels,35,2,Rare,Frequent,All withdrawn
Tyler Graham,17,Female,15/08/2006,,885,691,Student,A-Levels,42,3,Rare,Frequent,All withdrawn
Sharon Henderson,17,Female,25/08/2006,,10,1302,Student,Apprenticeships,47,2,Occasional,Frequent,All withdrawn
Ryan Nelson,16,Male,25/05/2006,,38,2639,Student,Other Qualifications,29,1,Occasional,Frequent,All withdrawn
Jeffrey Brennan,17,Male,18/01/2006,,973,3559,Student,Apprenticeships,44,2,Rare,Occasional,All withdrawn
Joshua Fleming,16,Female,25/03/2006,,66,1635,Student,GCSEs,38,1,Occasional,Frequent,All withdrawn
Erin Nelson,17,Male,14/01/2006,,383,1689,Student,BTECs,31,2,Frequent,Frequent,All withdrawn
Jeffery Cowan,16,Male,19/10/2006,,604,1661,Student,GCSEs,44,3,Occasional,Frequent,All withdrawn
Caroline Anthony,16,Female,15/06/2005,,812,3571,Student,BTECs,23,3,Rare,Frequent,All withdrawn
Daniel Mcdaniel,16,Male,21/07/2005,,774,4669,Student,Other Qualifications,45,1,Occasional,Frequent,All withdrawn
Maria Lopez,17,Female,18/02/2006,,9,4567,Student,A-Levels,43,2,Rare,Frequent,All withdrawn
James King,17,Male,20/05/2005,,28,3822,Student,BTECs,20,2,Rare,Frequent,All withdrawn
Laurie Martinez,16,Male,12/02/2006,,949,4334,Student,BTECs,21,3,Occasional,Frequent,All withdrawn
Connie Wall,17,Female,11/09/2006,,328,1328,Student,A-Levels,47,1,Rare,Frequent,All withdrawn
Mark Little,16,Female,24/04/2005,,437,1997,Student,GCSEs,31,3,Occasional,Frequent,All withdrawn
Scott Mack,16,Male,10/11/2005,,976,4266,Student,GCSEs,32,2,Rare,Frequent,All withdrawn
Angela Jordan,16,Female,08/10/2006,,285,4650,Student,Apprenticeships,25,2,Rare,Frequent,All withdrawn
Maria Nguyen,17,Female,15/12/2006,,372,4905,Student,A-Levels,44,1,Rare,Frequent,All withdrawn
Suzanne Dixon,17,Female,06/11/2006,,950,2423,Student,BTECs,34,1,Rare,Frequent,All withdrawn
Jeffrey Gonzalez,17,Female,13/11/2006,,717,822,Student,BTECs,21,1,Occasional,Frequent,All withdrawn
Alexander Navarro,17,Female,17/07/2005,,264,1908,Student,A-Levels,29,2,Occasional,Frequent,All withdrawn
Marcus Christensen,17,Male,20/03/2006,,586,4664,Student,BTECs,39,3,Frequent,Frequent,All withdrawn
Jeffrey Harris,17,Male,02/06/2005,,342,1270,Student,Other Qualifications,31,1,Occasional,Frequent,All withdrawn
Erica Manning,16,Female,24/01/2007,,829,4228,Student,Apprenticeships,46,1,Rare,Occasional,All withdrawn
Paige Myers,17,Male,12/06/2005,,726,1420,Student,BTECs,32,1,Rare,Frequent,All withdrawn
Gina Christian,17,Female,22/02/2007,,630,1826,Student,BTECs,38,2,Rare,Frequent,All withdrawn
Terrence Faulkner,16,Male,11/05/2005,,326,2629,Student,BTECs,41,1,Occasional,Frequent,All withdrawn
Jacob Nguyen,16,Male,09/01/2006,,899,1113,Student,BTECs,23,3,Rare,Frequent,All withdrawn
Pamela Pham,16,Male,04/02/2007,,179,1033,Student,GCSEs,41,3,Occasional,Frequent,All withdrawn
Michael Wong,16,Female,17/08/2005,,651,3210,Student,Other Qualifications,47,2,Frequent,Frequent,All withdrawn
Francisco Morris,16,Female,06/07/2006,,928,3227,Student,BTECs,25,3,Rare,Frequent,All withdrawn
Brent Scott,16,Male,24/09/2005,,146,4757,Student,BTECs,28,3,Rare,Frequent,All withdrawn
Maria Hughes,17,Male,06/03/2007,,3,3748,Student,Other Qualifications,24,1,Occasional,Frequent,All withdrawn
Brandon Martinez,16,Male,19/11/2005,,692,3510,Student,Apprenticeships,46,1,Rare,Frequent,All withdrawn
Kevin Perry,16,Male,17/12/2006,,149,3967,Student,BTECs,46,2,Rare,Frequent,All withdrawn
Antonio Morris,17,Male,01/12/2006,,504,1633,Student,BTECs,45,1,Occasional,Frequent,All withdrawn
Diane Knight,16,Male,15/02/2006,,989,1975,Student,BTECs,25,1,Rare,Frequent,All withdrawn
Jesse Gordon,17,Male,04/05/2006,,752,1391,Student,Apprenticeships,25,1,Rare,Frequent,All withdrawn
Edward Herrera,16,Female,18/06/2006,,178,2518,Student,Apprenticeships,26,2,Rare,Frequent,All withdrawn
Colleen Allen,17,Male,24/06/2006,,857,3084,Student,Apprenticeships,36,1,Rare,Frequent,All withdrawn
Tiffany Page,16,Male,09/06/2005,,902,3844,Student,BTECs,24,2,Rare,Frequent,All withdrawn
David Bryant,16,Male,20/10/2006,,888,2464,Student,GCSEs,22,3,Rare,Frequent,All withdrawn
Autumn Thompson,16,Female,22/10/2006,,698,4117,Student,BTECs,37,2,Occasional,Frequent,All withdrawn
Guy Davila,16,Male,21/03/2007,,921,1600,Student,Other Qualifications,26,3,Frequent,Frequent,All withdrawn
Andrew Padilla,17,Female,20/02/2006,,216,1248,Student,Apprenticeships,24,3,Occasional,Frequent,All withdrawn
Whitney Taylor,17,Male,04/07/2005,,362,1090,Student,Other Qualifications,28,3,Rare,Frequent,All withdrawn
Amanda Branch,17,Male,22/06/2005,,248,4175,Student,Other Qualifications,26,3,Occasional,Frequent,All withdrawn
Walter Phillips,16,Male,03/03/2007,,479,3429,Student,BTECs,29,1,Rare,Frequent,All withdrawn
Jamie Stephens,17,Male,07/12/2006,,816,2034,Student,BTECs,23,2,Occasional,Frequent,All withdrawn
Hannah Lopez,17,Male,09/09/2006,,211,2462,Student,BTECs,30,2,Rare,Frequent,All withdrawn
Michael Tyler,16,Male,15/04/2005,,937,3591,Student,Other Qualifications,40,3,Occasional,Frequent,All withdrawn
Melinda Martin,17,Male,24/03/2006,,927,4828,Student,Apprenticeships,48,3,Occasional,Frequent,All withdrawn
Daniel Ford,17,Male,23/06/2006,,296,3662,Student,BTECs,33,1,Occasional,Frequent,All withdrawn
Susan Perez,17,Male,12/06/2005,,952,4816,Student,Apprenticeships,21,2,Rare,Occasional,All withdrawn
John Spencer,17,Male,23/07/2005,,523,3634,Student,Other Qualifications,46,2,Occasional,Frequent,All withdrawn
Kenneth Erickson,17,Female,12/08/2006,,763,526,Student,Other Qualifications,48,2,Occasional,Frequent,All withdrawn
Noah Flores,17,Female,26/04/2005,,450,3610,Student,Apprenticeships,46,2,Rare,Frequent,All withdrawn
Michelle Aguilar,16,Female,01/09/2006,,274,3571,Student,Other Qualifications,31,1,Rare,Frequent,All withdrawn
Crystal Mcdonald,16,Male,31/08/2006,,519,2919,Student,BTECs,36,3,Frequent,Frequent,All withdrawn
Emily Cameron,17,Male,15/03/2006,,941,4998,Student,Other Qualifications,49,3,Occasional,Occasional,All withdrawn
Kathleen Joseph,16,Male,05/07/2006,,382,880,Student,Apprenticeships,42,3,Frequent,Frequent,All withdrawn
Paul Perez PhD,17,Male,08/12/2005,,190,4429,Student,Other Qualifications,36,2,Rare,Occasional,All withdrawn
Karen Reed,17,Female,04/05/2005,,641,4330,Student,Other Qualifications,25,3,Rare,Frequent,All withdrawn
David Savage,16,Male,18/05/2006,,363,802,Student,Apprenticeships,41,2,Rare,Frequent,All withdrawn
Mr. Brian Clark,17,Female,19/01/2006,,800,3677,Student,BTECs,32,1,Occasional,Frequent,All withdrawn
Crystal Rodriguez,16,Female,19/04/2005,,706,1461,Student,Apprenticeships,23,1,Rare,Frequent,All withdrawn
James Wong,16,Male,03/08/2006,,744,1171,Student,Other Qualifications,36,3,Occasional,Frequent,All withdrawn
Matthew Davis,16,Female,11/03/2006,,202,1184,Student,GCSEs,37,3,Rare,Frequent,All withdrawn
Ricardo Lee,17,Male,13/10/2005,,251,4632,Student,Other Qualifications,28,1,Rare,Frequent,All withdrawn
Jennifer Scott,17,Male,28/01/2006,,103,1680,Student,Other Qualifications,39,3,Rare,Frequent,All withdrawn
Luis Simmons,17,Female,23/09/2005,,427,697,Student,BTECs,32,2,Rare,Frequent,All withdrawn
Donald Hall,17,Female,20/05/2006,,860,2954,Student,Other Qualifications,30,3,Frequent,Frequent,All withdrawn
Laura West,16,Female,15/03/2006,,918,856,Student,GCSEs,29,1,Rare,Frequent,All withdrawn
Susan Ford,17,Female,22/07/2005,,741,579,Student,A-Levels,20,1,Frequent,Frequent,All withdrawn
Cody Mendoza,16,Female,11/02/2006,,914,3526,Student,GCSEs,42,3,Rare,Frequent,All withdrawn
Kathy Gray,17,Male,18/02/2006,,979,986,Student,BTECs,25,3,Occasional,Frequent,All withdrawn
Mary Edwards,17,Male,20/08/2006,,875,2880,Student,Apprenticeships,43,2,Rare,Frequent,All withdrawn
Richard Johnson,17,Male,11/05/2006,,806,3495,Student,Apprenticeships,25,2,Rare,Occasional,All withdrawn
Elizabeth Garcia,16,Female,13/11/2006,,188,3884,Student,GCSEs,28,3,Occasional,Frequent,All withdrawn
Caitlin Gonzalez,16,Female,05/11/2005,,527,705,Student,Apprenticeships,26,3,Occasional,Frequent,All withdrawn
Courtney Williams,17,Female,31/03/2006,,212,1506,Student,Apprenticeships,50,3,Rare,Frequent,All withdrawn
Tony Smith,16,Male,22/11/2006,,772,1947,Student,Other Qualifications,41,2,Occasional,Frequent,All withdrawn
Jacob Hunter,17,Male,24/11/2005,,360,4119,Student,Apprenticeships,41,3,Rare,Frequent,All withdrawn
Jason Williams,17,Female,19/10/2006,,465,1072,Student,BTECs,31,2,Frequent,Frequent,All withdrawn
Justin Miller,17,Female,10/10/2006,,417,3117,Student,BTECs,39,3,Occasional,Frequent,All withdrawn
Jason Davis,17,Female,03/09/2006,,847,1103,Student,A-Levels,27,2,Occasional,Frequent,All withdrawn
Amy Jimenez,17,Male,21/11/2006,,894,2806,Student,A-Levels,49,2,Occasional,Frequent,All withdrawn
Seth White,17,Male,30/03/2006,,824,3779,Student,Apprenticeships,25,1,Rare,Frequent,All withdrawn
Tammy Morris,17,Male,16/07/2005,,909,4168,Student,A-Levels,40,2,Rare,Frequent,All withdrawn
Kristy Conner,17,Female,07/06/2006,,833,1046,Student,Apprenticeships,31,1,Occasional,Frequent,All withdrawn
Timothy Juarez,17,Male,11/01/2007,,76,4778,Student,BTECs,41,3,Frequent,Frequent,All withdrawn
James Daniels,16,Female,11/03/2007,,604,739,Student,BTECs,32,2,Occasional,Frequent,All withdrawn
Kathryn Ramirez,17,Male,28/07/2006,,983,3123,Student,A-Levels,34,2,Rare,Frequent,All withdrawn
Mary Hill,16,Female,27/04/2005,,865,4121,Student,GCSEs,41,3,Occasional,Frequent,All withdrawn
Amanda Campbell,16,Male,02/10/2005,,212,3401,Student,GCSEs,40,2,Rare,Frequent,All withdrawn
Gary Cherry,17,Female,09/03/2007,,620,805,Student,BTECs,28,3,Occasional,Frequent,All withdrawn
Andrew Nielsen,16,Male,31/10/2006,,94,3323,Student,Other Qualifications,41,2,Rare,Frequent,All withdrawn
Beverly Foster,17,Male,10/07/2005,,70,1134,Student,BTECs,28,3,Rare,Frequent,All withdrawn
Heather Phillips,16,Male,08/10/2005,,116,2302,Student,BTECs,35,1,Occasional,Frequent,All withdrawn
Brian Bowman,16,Male,30/03/2006,,290,2276,Student,GCSEs,47,3,Occasional,Frequent,All withdrawn
Joseph Roth,17,Male,05/10/2006,,807,4957,Student,Apprenticeships,41,3,Rare,Frequent,All withdrawn
David Long,17,Female,05/07/2006,,95,2277,Student,BTECs,37,1,Occasional,Frequent,All withdrawn
Taylor Fleming,17,Male,26/03/2007,,702,2435,Student,BTECs,28,2,Occasional,Frequent,All withdrawn
Kyle Klein,16,Female,12/04/2006,,921,4757,Student,Apprenticeships,37,2,Frequent,Frequent,All withdrawn
Nathaniel Stevenson,17,Male,23/02/2007,,262,1375,Student,A-Levels,45,1,Rare,Frequent,All withdrawn
Rebecca Nolan,17,Female,29/11/2006,,843,4761,Student,A-Levels,34,1,Occasional,Frequent,All withdrawn
Brandon Riggs,16,Female,02/10/2006,,360,4051,Student,BTECs,27,3,Rare,Frequent,All withdrawn
Zachary Carpenter,17,Female,24/05/2006,,354,2022,Student,BTECs,46,3,Frequent,Frequent,All withdrawn
Joseph Byrd,17,Male,25/11/2006,,924,847,Student,Apprenticeships,21,2,Occasional,Frequent,All withdrawn
Zachary Evans,17,Male,11/12/2006,,314,633,Student,A-Levels,24,1,Frequent,Frequent,All withdrawn
Sara Peterson,16,Male,16/11/2005,,360,4661,Student,GCSEs,49,2,Rare,Frequent,All withdrawn
Diana Downs,16,Female,25/04/2006,,15,4710,Student,GCSEs,42,1,Rare,Frequent,All withdrawn
Nicholas Johnson,17,Male,24/04/2005,,551,3802,Student,A-Levels,40,1,Rare,Occasional,All withdrawn
David Mccarthy,16,Male,26/11/2005,,723,3000,Student,Apprenticeships,46,2,Rare,Frequent,All withdrawn
Ryan Gross,16,Male,03/05/2005,,749,4684,Student,Other Qualifications,22,1,Rare,Frequent,All withdrawn
Elizabeth Estrada,16,Male,04/03/2006,,188,2882,Student,Apprenticeships,34,3,Occasional,Frequent,All withdrawn
Rebekah Neal,16,Male,10/07/2006,,954,4648,Student,BTECs,24,3,Rare,Frequent,All withdrawn
Theresa Duke,17,Male,06/03/2006,,870,2384,Student,Other Qualifications,47,1,Occasional,Frequent,All withdrawn
David Frank,16,Male,20/12/2006,,913,3276,Student,Other Qualifications,37,1,Occasional,Frequent,All withdrawn
Angelica Jefferson,16,Female,09/01/2007,,25,1451,Student,Apprenticeships,35,1,Rare,Frequent,All withdrawn
Shelby White,17,Female,02/11/2005,,774,3867,Student,Apprenticeships,32,1,Rare,Occasional,All withdrawn
Nathan Cortez,16,Male,24/08/2005,,732,1391,Student,BTECs,26,2,Rare,Frequent,All withdrawn
Tiffany Wilson,17,Female,11/09/2005,,305,803,Student,Apprenticeships,31,3,Rare,Frequent,All withdrawn
Debra Pierce,17,Male,15/06/2005,,821,551,Student,A-Levels,33,3,Occasional,Frequent,All withdrawn
Miguel Williams,16,Female,05/09/2005,,383,2732,Student,BTECs,31,2,Occasional,Frequent,All withdrawn
Elaine Ruiz,17,Male,23/10/2005,,83,3387,Student,BTECs,39,2,Rare,Frequent,All withdrawn
Adam Johns,16,Female,09/06/2006,,551,1103,Student,Apprenticeships,22,2,Rare,Frequent,All withdrawn
Benjamin Austin,17,Female,01/10/2005,,177,3692,Student,Other Qualifications,44,2,Occasional,Frequent,All withdrawn
Terry Morris,16,Male,24/03/2006,,860,913,Student,GCSEs,24,2,Occasional,Frequent,All withdrawn
Ernest Henderson,17,Male,08/11/2006,,469,678,Student,A-Levels,44,2,Rare,Frequent,All withdrawn
Loretta King,16,Female,08/02/2007,,912,3819,Student,Other Qualifications,48,1,Rare,Frequent,All withdrawn
Dana Gill,17,Female,10/09/2005,,604,1295,Student,Other Qualifications,33,3,Occasional,Frequent,All withdrawn
Taylor Lutz,16,Female,27/08/2005,,960,3905,Student,BTECs,27,1,Occasional,Frequent,All withdrawn
Keith Morris,16,Male,24/04/2006,,334,4979,Student,GCSEs,50,2,Rare,Frequent,All withdrawn
Brian Green,17,Male,18/09/2005,,281,1571,Student,A-Levels,24,1,Rare,Frequent,All withdrawn
Karen Nguyen,16,Male,11/02/2006,,492,2782,Student,BTECs,40,1,Rare,Frequent,All withdrawn
Elizabeth Castillo,16,Female,25/08/2006,,849,2462,Student,Other Qualifications,29,3,Occasional,Frequent,All withdrawn
Maxwell Webb,17,Female,21/02/2006,,526,2903,Student,Other Qualifications,36,2,Rare,Occasional,All withdrawn
Bethany Washington,16,Male,17/12/2005,,62,2666,Student,Other Qualifications,38,2,Occasional,Frequent,All withdrawn
Emma Wong,17,Female,10/11/2005,,254,1347,Student,Apprenticeships,30,1,Rare,Occasional,All withdrawn
April Powers,17,Male,30/11/2005,,590,858,Student,A-Levels,33,2,Occasional,Frequent,All withdrawn
Stephanie Dennis,17,Female,11/11/2006,,611,2591,Student,A-Levels,45,1,Occasional,Occasional,All withdrawn
Rebecca Chapman,17,Female,11/02/2006,,273,4281,Student,Other Qualifications,42,1,Occasional,Frequent,All withdrawn
Arthur Frey,16,Male,16/05/2005,,155,1348,Student,GCSEs,32,2,Frequent,Frequent,All withdrawn
Timothy Holt,17,Female,30/07/2006,,675,1299,Student,Other Qualifications,29,1,Rare,Frequent,All withdrawn
Dr. Michelle Armstrong,17,Male,28/03/2006,,141,1673,Student,Apprenticeships,41,2,Rare,Occasional,All withdrawn
Laura Silva,16,Male,06/03/2007,,976,1514,Student,Other Qualifications,36,2,Rare,Frequent,All withdrawn
Veronica Brown,17,Male,23/09/2005,,582,4489,Student,Apprenticeships,25,2,Occasional,Frequent,All withdrawn
Larry Reeves,16,Male,16/09/2006,,209,3484,Student,Other Qualifications,37,2,Rare,Frequent,All withdrawn
Stephen Waters,16,Female,29/06/2005,,184,833,Student,BTECs,42,2,Rare,Frequent,All withdrawn
Tonya Glass,16,Male,25/05/2005,,472,4551,Student,BTECs,43,3,Rare,Frequent,All withdrawn
Taylor Potter,16,Male,13/12/2006,,95,2745,Student,Other Qualifications,44,2,Occasional,Frequent,All withdrawn
Gary Briggs,16,Female,14/01/2006,,896,3404,Student,Other Qualifications,40,3,Frequent,Frequent,All withdrawn
Ivan Hamilton,16,Female,26/05/2005,,679,4311,Student,BTECs,22,2,Rare,Frequent,All withdrawn
Megan Horn,16,Female,06/12/2005,,940,511,Student,GCSEs,35,3,Rare,Frequent,All withdrawn
Jennifer Carr,16,Female,09/07/2006,,834,1554,Student,Other Qualifications,39,2,Occasional,Frequent,All withdrawn
Sheryl Pearson,17,Male,06/05/2005,,284,2185,Student,BTECs,25,3,Rare,Frequent,All withdrawn
Stephen Ramirez,17,Male,21/02/2007,,558,4362,Student,BTECs,20,1,Occasional,Frequent,All withdrawn
Christina Gibson,16,Male,30/09/2005,,200,4076,Student,BTECs,42,1,Occasional,Frequent,All withdrawn
Tony Wood,16,Female,14/03/2007,,577,4637,Student,Other Qualifications,26,1,Rare,Frequent,All withdrawn
Angela Harris,17,Female,03/12/2005,,883,1908,Student,BTECs,40,1,Occasional,Frequent,All withdrawn
Theresa Robinson,16,Female,22/01/2006,,346,999,Student,GCSEs,29,3,Rare,Frequent,All withdrawn
Samantha Johnson,16,Female,26/05/2006,,8,4908,Student,Other Qualifications,33,3,Occasional,Frequent,All withdrawn
Brian Barrera,17,Male,08/08/2005,,296,607,Student,Apprenticeships,34,1,Occasional,Frequent,All withdrawn
Timothy Mcdonald,17,Female,10/12/2005,,88,3345,Student,Other Qualifications,24,3,Rare,Frequent,All withdrawn
Cindy Jenkins,17,Male,18/03/2007,,541,1892,Student,A-Levels,50,1,Occasional,Occasional,All withdrawn
Thomas Freeman,17,Male,24/05/2006,,130,757,Student,Apprenticeships,47,3,Rare,Occasional,All withdrawn
Heather Poole,16,Female,19/01/2007,,30,3590,Student,GCSEs,29,2,Occasional,Frequent,All withdrawn
Paul Smith,16,Male,26/05/2005,,523,3214,Student,Other Qualifications,20,2,Rare,Frequent,All withdrawn
Marissa Kennedy,17,Female,07/03/2007,,753,4107,Student,A-Levels,21,1,Rare,Frequent,All withdrawn
Mrs. Julie Reese,17,Male,08/07/2006,,159,586,Student,A-Levels,40,3,Occasional,Frequent,All withdrawn
Vanessa Diaz,16,Male,30/11/2005,,659,4885,Student,BTECs,23,1,Occasional,Frequent,All withdrawn
Christy Lewis,17,Male,07/05/2005,,149,3684,Student,BTECs,45,1,Occasional,Frequent,All withdrawn
Walter Farrell,17,Male,21/11/2005,,135,986,Student,BTECs,36,2,Rare,Frequent,All withdrawn
Joshua Miller,17,Female,22/08/2005,,948,1646,Student,Apprenticeships,43,1,Rare,Frequent,All withdrawn
Nicholas Robles,17,Female,28/03/2007,,679,3498,Student,Other Qualifications,26,1,Rare,Frequent,All withdrawn
Susan Salas,16,Female,21/09/2005,,975,1533,Student,BTECs,26,1,Occasional,Frequent,All withdrawn
David Mitchell,17,Male,29/10/2005,,366,3960,Student,BTECs,31,1,Rare,Frequent,All withdrawn
Gregg Ellis,17,Female,17/06/2005,,69,1483,Student,Other Qualifications,26,3,Occasional,Frequent,All withdrawn
Jose Wilson,16,Female,10/11/2005,,66,848,Student,Apprenticeships,37,1,Occasional,Frequent,All withdrawn
Kyle Collier,16,Female,16/01/2007,,98,4224,Student,BTECs,45,2,Rare,Frequent,All withdrawn
Christina Rice,17,Female,25/03/2006,,795,4242,Student,BTECs,46,3,Rare,Occasional,All withdrawn
William Buchanan,16,Male,30/11/2005,,15,3945,Student,Apprenticeships,21,3,Rare,Frequent,All withdrawn
Veronica Miller DDS,16,Female,22/01/2006,,283,1540,Student,Other Qualifications,43,3,Frequent,Frequent,All withdrawn
Tyler Gonzalez,16,Female,07/01/2007,,924,4413,Student,Apprenticeships,40,2,Frequent,Frequent,All withdrawn
Diane Gonzalez,16,Male,23/12/2006,,523,1070,Student,BTECs,35,3,Rare,Frequent,All withdrawn
Mrs. Erin Reynolds,17,Female,17/12/2006,,86,1409,Student,Other Qualifications,24,1,Frequent,Occasional,All withdrawn
Ashley Wade,16,Female,16/09/2006,,453,4105,Student,BTECs,23,1,Occasional,Frequent,All withdrawn
Allison Brown,17,Female,09/06/2005,,742,4763,Student,Other Qualifications,39,2,Rare,Frequent,All withdrawn
Mary Simpson,17,Male,27/01/2006,,414,4835,Student,Other Qualifications,30,1,Rare,Frequent,All withdrawn
James Wagner,17,Male,10/01/2007,,396,2482,Student,Other Qualifications,45,3,Occasional,Frequent,All withdrawn
Mark Ray,17,Female,20/02/2007,,131,1849,Student,Other Qualifications,45,1,Occasional,Frequent,All withdrawn
Jacob Williams,17,Female,23/05/2006,,685,4472,Student,Other Qualifications,41,3,Rare,Frequent,All withdrawn
Eric Taylor,16,Male,23/04/2005,,293,2899,Student,Apprenticeships,31,3,Rare,Frequent,All withdrawn
Ebony Griffin,17,Male,13/12/2005,,807,1964,Student,Apprenticeships,42,2,Rare,Frequent,All withdrawn
Jordan Montgomery,16,Female,02/08/2005,,440,3547,Student,Apprenticeships,30,2,Occasional,Frequent,All withdrawn
Johnny Smith,17,Female,06/09/2005,,201,4255,Student,Apprenticeships,31,2,Occasional,Frequent,All withdrawn
Emily Strong,17,Male,07/10/2006,,89,4658,Student,Other Qualifications,36,2,Occasional,Frequent,All withdrawn
Amy Perry,16,Female,12/08/2006,,96,2520,Student,GCSEs,22,1,Frequent,Occasional,All withdrawn
Patricia Brennan,17,Female,20/07/2006,,651,2691,Student,Apprenticeships,35,2,Occasional,Frequent,All withdrawn
Jocelyn Moon,17,Male,19/10/2005,,650,3622,Student,Other Qualifications,33,2,Occasional,Frequent,All withdrawn
David Osborn,17,Female,29/10/2006,,219,2545,Student,BTECs,20,2,Rare,Frequent,All withdrawn
Carolyn Duffy,17,Female,30/07/2006,,107,3627,Student,Apprenticeships,23,1,Rare,Frequent,All withdrawn
Matthew Olson,16,Female,11/08/2005,,874,1267,Student,BTECs,50,2,Occasional,Frequent,All withdrawn
Jeremy Davidson,17,Female,31/12/2005,,541,1924,Student,BTECs,50,2,Rare,Frequent,All withdrawn
Thomas Edwards,16,Male,17/12/2006,,378,2308,Student,BTECs,21,2,Occasional,Frequent,All withdrawn
Savannah Carroll,16,Female,09/01/2007,,767,3850,Student,GCSEs,33,2,Rare,Frequent,All withdrawn
Cindy Brooks,17,Male,09/12/2006,,992,3888,Student,BTECs,49,2,Rare,Frequent,All withdrawn
Michele Horton,17,Male,21/11/2006,,153,4680,Student,Apprenticeships,26,2,Rare,Frequent,All withdrawn
Robin Gonzalez,17,Female,15/02/2006,,474,3859,Student,Other Qualifications,40,2,Rare,Frequent,All withdrawn
Kathryn Lawrence,16,Female,22/02/2007,,301,3448,Student,Other Qualifications,24,2,Rare,Frequent,All withdrawn
Michael Moore,16,Male,16/10/2006,,613,4338,Student,Other Qualifications,25,3,Occasional,Frequent,All withdrawn
